Month,Id,Seasons,RB_Rate_kg,RB_Rate_qtls,Type,Type_Code,Maturity_mo,Yield_qtls_acer,Sales_acer,Cost_Culti_acre,Profit,Plant_Height_inch,Root_Depth,Plant_Spaceing_beds_inch,Plant_Spaceing_Rows_inch,Plant_Spaceing_bw_Rows_inch,Water_Req,Nutrient_Dem,Comments
January,0,Winter,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,Can be grown throughout the year with availability of sufficient water.
February,1,Winter,23,2300,Beet Root,1,3,200,460000,80000,380000,12,Shallow,4,6,21,M,H,
March,2,Winter,18,1800,Beet Root,1,3,200,360000,80000,280000,12,Shallow,4,6,21,M,H,
April,3,Summer,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
May,4,Summer,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
June,5,Summer,34,3400,Beet Root,1,3,200,680000,80000,600000,12,Shallow,4,6,21,M,H,
July,6,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
August,7,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
September,8,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,12,Shallow,4,6,21,M,H,
October,9,Autumn,30,3000,Beet Root,1,3,200,600000,80000,520000,12,Shallow,4,6,21,M,H,
November,10,Autumn,48,4800,Beet Root,1,3,200,960000,80000,880000,12,Shallow,4,6,21,M,H,
December,11,Winter,32,3200,Beet Root,1,3,200,640000,80000,560000,12,Shallow,4,6,21,M,H,
January,12,Winter,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
February,13,Winter,30,3000,Bhendi,2,2,100,300000,25000,275000,36,Deep,NA,20,40,H,,
March,14,Winter,23,2300,Bhendi,2,2,100,230000,25000,205000,36,Deep,NA,20,40,H,,
April,15,Summer,18,1800,Bhendi,2,2,100,180000,25000,155000,36,Deep,NA,20,40,H,,
May,16,Summer,18,1800,Bhendi,2,2,100,180000,25000,155000,36,Deep,NA,20,40,H,,
June,17,Summer,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
July,18,Rainy,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
August,19,Rainy,17,1700,Bhendi,2,2,100,170000,25000,145000,36,Deep,NA,20,40,H,,
September,20,Rainy,8,800,Bhendi,2,2,100,80000,25000,55000,36,Deep,NA,20,40,H,,
October,21,Autumn,21,2100,Bhendi,2,2,100,210000,25000,185000,36,Deep,NA,20,40,H,,
November,22,Autumn,22,2200,Bhendi,2,2,100,220000,25000,195000,36,Deep,NA,20,40,H,,
December,23,Winter,22,2200,Bhendi,2,2,100,220000,25000,195000,36,Deep,NA,20,40,H,,
January,24,Winter,23,2300,Bitter Gourd,3,4,140,322000,100000,222000,70,Medium,NA,18,60,M,,
February,25,Winter,18,1800,Bitter Gourd,3,4,140,252000,100000,152000,70,Medium,NA,18,60,M,,
March,26,Winter,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
April,27,Summer,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
May,28,Summer,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
June,29,Summer,22,2200,Bitter Gourd,3,4,140,308000,100000,208000,70,Medium,NA,18,60,M,,
July,30,Rainy,32,3200,Bitter Gourd,3,4,140,448000,100000,348000,70,Medium,NA,18,60,M,,
August,31,Rainy,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
September,32,Rainy,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,70,Medium,NA,18,60,M,,
October,33,Autumn,30,3000,Bitter Gourd,3,4,140,420000,100000,320000,70,Medium,NA,18,60,M,,
November,34,Autumn,30,3000,Bitter Gourd,3,4,140,420000,100000,320000,70,Medium,NA,18,60,M,,
December,35,Winter,24,2400,Bitter Gourd,3,4,140,336000,100000,236000,70,Medium,NA,18,60,M,,
January,36,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
February,37,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
March,38,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
April,39,Summer,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
May,40,Summer,6,600,Bottle Gourd,4,4,120,72000,17000,55000,60,Shallow,NA,12,30,M,,
June,41,Summer,14,1400,Bottle Gourd,4,4,120,168000,17000,151000,60,Shallow,NA,12,30,M,,
July,42,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
August,43,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
September,44,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
October,45,Autumn,0,0,Bottle Gourd,4,4,120,0,17000,-17000,60,Shallow,NA,12,30,M,,
November,46,Autumn,8,800,Bottle Gourd,4,4,120,96000,17000,79000,60,Shallow,NA,12,30,M,,
December,47,Winter,14,1400,Bottle Gourd,4,4,120,168000,17000,151000,60,Shallow,NA,12,30,M,,
January,48,Winter,8,800,Brinjal,5,3,200,160000,25000,135000,50,Deep,NA,24,36,M,H,
February,49,Winter,33,3300,Brinjal,5,3,200,660000,25000,635000,50,Deep,NA,24,36,M,H,
March,50,Winter,23,2300,Brinjal,5,3,200,460000,25000,435000,50,Deep,NA,24,36,M,H,
April,51,Summer,28,2800,Brinjal,5,3,200,560000,25000,535000,50,Deep,NA,24,36,M,H,
May,52,Summer,21,2100,Brinjal,5,3,200,420000,25000,395000,50,Deep,NA,24,36,M,H,
June,53,Summer,32,3200,Brinjal,5,3,200,640000,25000,615000,50,Deep,NA,24,36,M,H,
July,54,Rainy,32,3200,Brinjal,5,3,200,640000,25000,615000,50,Deep,NA,24,36,M,H,
August,55,Rainy,42,4200,Brinjal,5,3,200,840000,25000,815000,50,Deep,NA,24,36,M,H,
September,56,Rainy,30,3000,Brinjal,5,3,200,600000,25000,575000,50,Deep,NA,24,36,M,H,
October,57,Autumn,43,4300,Brinjal,5,3,200,860000,25000,835000,50,Deep,NA,24,36,M,H,
November,58,Autumn,21,2100,Brinjal,5,3,200,420000,25000,395000,50,Deep,NA,24,36,M,H,
December,59,Winter,22,2200,Brinjal,5,3,200,440000,25000,415000,50,Deep,NA,24,36,M,H,
January,60,Winter,16,1600,Cabbage,6,2,160,256000,21000,235000,15,Shallow,15,18,28,H,H,
February,61,Winter,15,1500,Cabbage,6,2,160,240000,21000,219000,15,Shallow,15,18,28,H,H,
March,62,Winter,14,1400,Cabbage,6,2,160,224000,21000,203000,15,Shallow,15,18,28,H,H,
April,63,Summer,15,1500,Cabbage,6,2,160,240000,21000,219000,15,Shallow,15,18,28,H,H,
May,64,Summer,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
June,65,Summer,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
July,66,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
August,67,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
September,68,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
October,69,Autumn,21,2100,Cabbage,6,2,160,336000,21000,315000,15,Shallow,15,18,28,H,H,
November,70,Autumn,32,3200,Cabbage,6,2,160,512000,21000,491000,15,Shallow,15,18,28,H,H,
December,71,Winter,30,3000,Cabbage,6,2,160,480000,21000,459000,15,Shallow,15,18,28,H,H,
January,72,Winter,14,1400,Carrot,7,3,120,168000,90000,78000,12,Medium,3,6,25,M,L,
February,73,Winter,23,2300,Carrot,7,3,120,276000,90000,186000,12,Medium,3,6,25,M,L,
March,74,Winter,28,2800,Carrot,7,3,120,336000,90000,246000,12,Medium,3,6,25,M,L,
April,75,Summer,33,3300,Carrot,7,3,120,396000,90000,306000,12,Medium,3,6,25,M,L,
May,76,Summer,48,4800,Carrot,7,3,120,576000,90000,486000,12,Medium,3,6,25,M,L,
June,77,Summer,63,6300,Carrot,7,3,120,756000,90000,666000,12,Medium,3,6,25,M,L,
July,78,Rainy,54,5400,Carrot,7,3,120,648000,90000,558000,12,Medium,3,6,25,M,L,
August,79,Rainy,43,4300,Carrot,7,3,120,516000,90000,426000,12,Medium,3,6,25,M,L,
September,80,Rainy,43,4300,Carrot,7,3,120,516000,90000,426000,12,Medium,3,6,25,M,L,
October,81,Autumn,43,4300,Carrot,7,3,120,516000,90000,426000,12,Medium,3,6,25,M,L,
November,82,Autumn,63,6300,Carrot,7,3,120,756000,90000,666000,12,Medium,3,6,25,M,L,
December,83,Winter,53,5300,Carrot,7,3,120,636000,90000,546000,12,Medium,3,6,25,M,L,
January,84,Winter,17,1700,Cauliflower,8,2,100,170000,21000,149000,20,Shallow,14,18,38,M,H,
February,85,Winter,14,1400,Cauliflower,8,2,100,140000,21000,119000,20,Shallow,14,18,38,M,H,
March,86,Winter,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
April,87,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
May,88,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
June,89,Summer,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
July,90,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
August,91,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
September,92,Rainy,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
October,93,Autumn,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
November,94,Autumn,0,0,Cauliflower,8,2,100,0,21000,-21000,20,Shallow,14,18,38,M,H,
December,95,Winter,23,2300,Cauliflower,8,2,100,230000,21000,209000,20,Shallow,14,18,38,M,H,
January,96,Winter,24,2400,Cluster Beans,9,3,20,48000,20000,28000,22,Medium,6,12,33,M,L,
February,97,Winter,33,3300,Cluster Beans,9,3,20,66000,20000,46000,22,Medium,6,12,33,M,L,
March,98,Winter,20,2000,Cluster Beans,9,3,20,40000,20000,20000,22,Medium,6,12,33,M,L,
April,99,Summer,19,1900,Cluster Beans,9,3,20,38000,20000,18000,22,Medium,6,12,33,M,L,
May,100,Summer,18,1800,Cluster Beans,9,3,20,36000,20000,16000,22,Medium,6,12,33,M,L,
June,101,Summer,0,0,Cluster Beans,9,3,20,0,20000,-20000,22,Medium,6,12,33,M,L,
July,102,Rainy,32,3200,Cluster Beans,9,3,20,64000,20000,44000,22,Medium,6,12,33,M,L,
August,103,Rainy,0,0,Cluster Beans,9,3,20,0,20000,-20000,22,Medium,6,12,33,M,L,
September,104,Rainy,21,2100,Cluster Beans,9,3,20,42000,20000,22000,22,Medium,6,12,33,M,L,
October,105,Autumn,21,2100,Cluster Beans,9,3,20,42000,20000,22000,22,Medium,6,12,33,M,L,
