Month,Seasons,RB_Rate_kg,RB_Rate_qtls,Type,Type_Code,Maturity_mo,Yield_qtls_acer,Sales_acer,Cost_Culti_acre,Profit,Comments
January,Winter,0,0,Beet Root,1,3,200,0,80000,-80000,Can be grown throughout the year with availability of sufficient water.
February,Winter,23,2300,Beet Root,1,3,200,460000,80000,380000,
March,Winter,18,1800,Beet Root,1,3,200,360000,80000,280000,
April,Summer,0,0,Beet Root,1,3,200,0,80000,-80000,
May,Summer,0,0,Beet Root,1,3,200,0,80000,-80000,
June,Summer,34,3400,Beet Root,1,3,200,680000,80000,600000,
July,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,
August,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,
September,Rainy,0,0,Beet Root,1,3,200,0,80000,-80000,
October,Autumn,30,3000,Beet Root,1,3,200,600000,80000,520000,
November,Autumn,48,4800,Beet Root,1,3,200,960000,80000,880000,
December,Winter,32,3200,Beet Root,1,3,200,640000,80000,560000,
January,Winter,21,2100,Bhendi,2,2,100,210000,25000,185000,
February,Winter,30,3000,Bhendi,2,2,100,300000,25000,275000,
March,Winter,23,2300,Bhendi,2,2,100,230000,25000,205000,
April,Summer,18,1800,Bhendi,2,2,100,180000,25000,155000,
May,Summer,18,1800,Bhendi,2,2,100,180000,25000,155000,
June,Summer,21,2100,Bhendi,2,2,100,210000,25000,185000,
July,Rainy,21,2100,Bhendi,2,2,100,210000,25000,185000,
August,Rainy,17,1700,Bhendi,2,2,100,170000,25000,145000,
September,Rainy,8,800,Bhendi,2,2,100,80000,25000,55000,
October,Autumn,21,2100,Bhendi,2,2,100,210000,25000,185000,
November,Autumn,22,2200,Bhendi,2,2,100,220000,25000,195000,
December,Winter,22,2200,Bhendi,2,2,100,220000,25000,195000,
January,Winter,23,2300,Bitter Gourd,3,4,140,322000,100000,222000,
February,Winter,18,1800,Bitter Gourd,3,4,140,252000,100000,152000,
March,Winter,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,
April,Summer,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,
May,Summer,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,
June,Summer,22,2200,Bitter Gourd,3,4,140,308000,100000,208000,
July,Rainy,32,3200,Bitter Gourd,3,4,140,448000,100000,348000,
August,Rainy,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,
September,Rainy,21,2100,Bitter Gourd,3,4,140,294000,100000,194000,
October,Autumn,30,3000,Bitter Gourd,3,4,140,420000,100000,320000,
November,Autumn,30,3000,Bitter Gourd,3,4,140,420000,100000,320000,
December,Winter,24,2400,Bitter Gourd,3,4,140,336000,100000,236000,
January,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
February,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
March,Winter,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
April,Summer,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
May,Summer,6,600,Bottle Gourd,4,4,120,72000,17000,55000,
June,Summer,14,1400,Bottle Gourd,4,4,120,168000,17000,151000,
July,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
August,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
September,Rainy,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
October,Autumn,0,0,Bottle Gourd,4,4,120,0,17000,-17000,
November,Autumn,8,800,Bottle Gourd,4,4,120,96000,17000,79000,
December,Winter,14,1400,Bottle Gourd,4,4,120,168000,17000,151000,
January,Winter,8,800,Brinjal,5,3,200,160000,25000,135000,
February,Winter,33,3300,Brinjal,5,3,200,660000,25000,635000,
March,Winter,23,2300,Brinjal,5,3,200,460000,25000,435000,
April,Summer,28,2800,Brinjal,5,3,200,560000,25000,535000,
May,Summer,21,2100,Brinjal,5,3,200,420000,25000,395000,
June,Summer,32,3200,Brinjal,5,3,200,640000,25000,615000,
July,Rainy,32,3200,Brinjal,5,3,200,640000,25000,615000,
August,Rainy,42,4200,Brinjal,5,3,200,840000,25000,815000,
September,Rainy,30,3000,Brinjal,5,3,200,600000,25000,575000,
October,Autumn,43,4300,Brinjal,5,3,200,860000,25000,835000,
November,Autumn,21,2100,Brinjal,5,3,200,420000,25000,395000,
December,Winter,22,2200,Brinjal,5,3,200,440000,25000,415000,
January,Winter,16,1600,Cabbage,6,2,160,256000,21000,235000,
February,Winter,15,1500,Cabbage,6,2,160,240000,21000,219000,
March,Winter,14,1400,Cabbage,6,2,160,224000,21000,203000,
April,Summer,15,1500,Cabbage,6,2,160,240000,21000,219000,
May,Summer,21,2100,Cabbage,6,2,160,336000,21000,315000,
June,Summer,21,2100,Cabbage,6,2,160,336000,21000,315000,
July,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,
August,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,
September,Rainy,21,2100,Cabbage,6,2,160,336000,21000,315000,
